Dataset;Experiment 1 Name;Experiment 2 Name;T Test Compared Results;Alfa;T-value;P-value;Level of Confidence (%);Equal Variance?
Ohsumed;DO01;DO04;Fail to reject H0;0.03;1.8026;0.08822186127669306;91.1778;True
Ohsumed;DO01;DO05;Reject H0;0.03;2.6438;0.016504466097933067;98.3496;True
Ohsumed;DO01;DO06;Reject H0;0.03;4.0866;0.0006925579903919726;99.9307;True
Ohsumed;DO01;DO07;Fail to reject H0;0.03;2.307;0.033157900056739166;96.6842;True
Ohsumed;DO01;DO08;Reject H0;0.03;3.9323;0.000976599184479655;99.9023;True
Ohsumed;DO01;DO09;Reject H0;0.03;5.6317;2.4170047306750613e-05;99.9976;True
Ohsumed;DO01;HD50;Reject H0;0.03;12.0058;5.007223627201224e-10;100.0;True
Ohsumed;DO01;HD350;Fail to reject H0;0.03;1.3074;0.20752098366835425;79.2479;True
Ohsumed;DO01;HD500;Fail to reject H0;0.03;0.711;0.4862104404941531;51.379;True
Ohsumed;DO02;DO03;Fail to reject H0;0.03;-0.589;0.5632010271391479;43.6799;True
Ohsumed;DO02;DO04;Fail to reject H0;0.03;0.776;0.4478023196223533;55.2198;True
Ohsumed;DO02;DO05;Fail to reject H0;0.03;1.7022;0.10592574840598955;89.4074;True
Ohsumed;DO02;DO06;Reject H0;0.03;3.1721;0.005276641483826374;99.4723;True
Ohsumed;DO02;DO07;Fail to reject H0;0.03;1.6407;0.11821749688733846;88.1783;True
Ohsumed;DO02;DO08;Reject H0;0.03;3.2933;0.0040404746850103285;99.596;True
Ohsumed;DO02;DO09;Reject H0;0.03;4.9902;9.483414849154856e-05;99.9905;True
Ohsumed;DO02;HD50;Reject H0;0.03;10.8755;2.418017760972105e-09;100.0;True
Ohsumed;DO02;HD350;Fail to reject H0;0.03;0.5271;0.6045297393579843;39.547;True
Ohsumed;DO02;HD500;Fail to reject H0;0.03;-0.1199;0.9059025920485013;9.4097;True
Ohsumed;DO03;DO04;Fail to reject H0;0.03;1.6498;0.1163286920732589;88.3671;True
Ohsumed;DO03;DO05;Reject H0;0.03;2.5658;0.019447333455066627;98.0553;True
Ohsumed;DO03;DO06;Reject H0;0.03;4.1098;0.0006576859226474582;99.9342;True
Ohsumed;DO03;DO07;Fail to reject H0;0.03;2.1887;0.04204660007853161;95.7953;True
Ohsumed;DO03;DO08;Reject H0;0.03;3.8777;0.001957132612417558;99.8043;False
Ohsumed;DO03;DO09;Reject H0;0.03;5.634;9.40723444130284e-05;99.9906;False
Ohsumed;DO03;HD50;Reject H0;0.03;12.6208;2.2309766635880453e-10;100.0;True
Ohsumed;DO03;HD350;Fail to reject H0;0.03;1.1224;0.2764570403860596;72.3543;True
Ohsumed;DO03;HD500;Fail to reject H0;0.03;0.4675;0.6457489114350745;35.4251;True
Ohsumed;DO04;DO05;Fail to reject H0;0.03;1.2399;0.23094329621696208;76.9057;True
Ohsumed;DO04;DO06;Reject H0;0.03;3.0083;0.007548697306337264;99.2451;True
Ohsumed;DO04;DO07;Fail to reject H0;0.03;1.2511;0.2345009238528523;76.5499;False
Ohsumed;DO04;DO08;Reject H0;0.03;3.0728;0.010065186935850194;98.9935;False
Ohsumed;DO04;DO09;Reject H0;0.03;4.9087;0.0004249288329887439;99.9575;False
Ohsumed;DO04;HD50;Reject H0;0.03;12.1367;4.2045294783186624e-10;100.0;True
Ohsumed;DO04;HD350;Fail to reject H0;0.03;-0.0962;0.9244222871821755;7.5578;True
Ohsumed;DO04;HD500;Fail to reject H0;0.03;-0.9389;0.3601912940143941;63.9809;True
Ohsumed;DO05;DO06;Fail to reject H0;0.03;1.6955;0.10721617215819135;89.2784;True
Ohsumed;DO05;DO07;Fail to reject H0;0.03;0.4086;0.6876357352585953;31.2364;True
Ohsumed;DO05;DO08;Fail to reject H0;0.03;2.2131;0.04004720334368079;95.9953;True
Ohsumed;DO05;DO09;Reject H0;0.03;3.9987;0.0014807713383203694;99.8519;False
Ohsumed;DO05;HD50;Reject H0;0.03;9.937;9.841932680488943e-09;100.0;True
Ohsumed;DO05;HD350;Fail to reject H0;0.03;-1.0234;0.31965539765963213;68.0345;True
Ohsumed;DO05;HD500;Fail to reject H0;0.03;-1.8636;0.07876997267614276;92.123;True
Ohsumed;DO06;DO07;Fail to reject H0;0.03;-0.8534;0.40462966205735273;59.537;True
Ohsumed;DO06;DO08;Fail to reject H0;0.03;0.9825;0.33888931315029436;66.1111;True
Ohsumed;DO06;DO09;Reject H0;0.03;2.7507;0.013151634955235768;98.6848;True
Ohsumed;DO06;HD50;Reject H0;0.03;7.7225;4.0367693712461277e-07;100.0;True
Ohsumed;DO06;HD350;Reject H0;0.03;-2.4498;0.02475113275751847;97.5249;True
Ohsumed;DO06;HD500;Reject H0;0.03;-3.3446;0.0036076570888419228;99.6392;True
Ohsumed;DO07;DO08;Fail to reject H0;0.03;1.5396;0.14105275256849203;85.8947;True
Ohsumed;DO07;DO09;Reject H0;0.03;3.0775;0.006490810878915001;99.3509;True
Ohsumed;DO07;HD50;Reject H0;0.03;6.958;1.683874871983154e-06;99.9998;True
Ohsumed;DO07;HD350;Fail to reject H0;0.03;-1.1521;0.26436660907779413;73.5633;True
Ohsumed;DO07;HD500;Fail to reject H0;0.03;-1.751;0.09697639307526267;90.3024;True
Ohsumed;DO08;DO09;Fail to reject H0;0.03;1.5;0.1509377945996067;84.9062;True
Ohsumed;DO08;HD50;Reject H0;0.03;4.6871;0.00018355801645780878;99.9816;True
Ohsumed;DO08;HD350;Reject H0;0.03;-2.7863;0.012189143548465873;98.7811;True
Ohsumed;DO08;HD500;Reject H0;0.03;-3.4085;0.003132015324997245;99.6868;True
Ohsumed;DO09;HD50;Reject H0;0.03;2.7516;0.013127599425055921;98.6872;True
Ohsumed;DO09;HD350;Reject H0;0.03;-4.447;0.00031136577846851423;99.9689;True
Ohsumed;DO09;HD500;Reject H0;0.03;-5.1146;7.248888351529154e-05;99.9928;True
Ohsumed;HD50;HD350;Reject H0;0.03;-9.6977;1.4293569408760017e-08;100.0;True
Ohsumed;HD50;HD500;Reject H0;0.03;-11.1705;1.5844345674541835e-09;100.0;True
Ohsumed;HD350;HD500;Fail to reject H0;0.03;-0.6471;0.5257279070783211;47.4272;True
R8;ES10;ES100;Reject H0;0.03;3.9625;0.0009130508586460309;99.9087;True
R8;ES10;ES1000;Reject H0;0.03;9.3366;2.5411017782446338e-08;100.0;True
